title,genres,original_language,popularity,production_companies,release_year,runtime,vote_average,vote_count,pc_impact,pcif,gif,pop_actor,success_pot
Meg 2: The Trench,Action,en,4.5,warner bros,2023,3.0370370370370363,7.079,4.417647287273292,1.6886122643533121,high,high,True,medium
The Pope's Exorcist,Horror,en,4.5,screen gems,2023,2.0740740740740735,7.433,1.7638225432702888,0.6442413717910448,low,high,True,high
Transformers: Rise of the Beasts,Action,en,4.5,paramount,2023,3.851851851851851,7.34,3.259026240501249,1.516934121304348,high,high,True,medium
Ant-Man and the Wasp: Quantumania,Action,en,4.5,marvel,2023,3.703703703703704,6.507,9.097440677307857,5.512887704358975,very high,high,True,medium
Creed III,Drama,en,4.5,metro-goldwyn-mayer,2023,3.0370370370370363,7.262,3.653863580462672,1.0234533082758621,medium,high,True,medium
Fast X,Action,en,4.5,universal,2023,4.962962962962962,7.275,10.0,1.5666978714723927,high,high,True,medium
Insidious: The Red Door,Horror,en,4.5,blumhouse,2023,2.3703703703703702,6.75,1.8253136044118217,0.45211804425373137,low,high,True,high
Plane,Action,en,4.5,di bonaventura,2023,2.3703703703703702,6.901,2.5405517366370214,2.3375325759999996,high,high,True,medium
Spider-Man: Across the Spider-Verse,multiple,en,4.5,columbia,2023,4.814814814814815,8.64,5.450049840123241,1.650344178225256,high,low,True,medium
Aquaman and the Lost Kingdom,Action,en,4.5,warner bros,2023,3.6296296296296298,6.786,2.446696959105208,1.6886122643533121,high,high,True,medium
Shazam! Fury of the Gods,multiple,en,4.5,new line cinema,2023,4.074074074074074,6.781,5.184667366,1.2639715592307692,medium,low,True,medium
Knights of the Zodiac,Fantasy,en,4.5,stage 6,2023,2.814814814814815,6.561,1.524331041982213,0.2903469828888889,low,medium,True,low
Napoleon,History,en,4.5,scott free,2023,6.148148148148147,6.516,4.1490284412339635,0.8665658946296297,low,low,True,medium
The Nun II,Horror,en,4.5,new line cinema,2023,2.5925925925925917,7.004,3.4726267686771006,1.2639715592307692,medium,high,True,medium
The Creator,Science Fiction,en,4.5,regency enterprises,2023,4.37037037037037,7.186,2.576151825,0.8769127665333333,low,high,True,low
The Hunger Games: The Ballad of Songbirds & Snakes,Drama,en,4.5,lionsgate,2023,6.074074074074074,7.3,3.919246054862972,0.4699119434177216,low,high,True,medium
Guardians of the Galaxy Vol. 3,Action,en,4.5,marvel,2023,5.555555555555555,8.053,6.9225989358810045,5.512887704358975,very high,high,True,medium
Retribution,multiple,en,4.5,studiocanal,2023,1.333333333333333,6.836,1.103602728908566,0.2975150791538462,low,low,True,low
Puss in Boots: The Last Wish,multiple,en,4.5,universal,2022,2.0740740740740735,8.284,10.0,1.5666978714723927,high,low,True,medium
Migration,multiple,en,4.5,universal,2023,0.5925925925925926,7.668,2.0162595311144766,1.5666978714723927,high,low,True,medium
Wonka,Comedy,en,4.5,warner bros,2023,3.1111111111111107,7.1,2.9127344751252475,1.6886122643533121,high,high,True,medium
Guy Ritchie's The Covenant,War,en,4.5,stx,2023,3.5555555555555554,7.662,2.126296166841431,0.3052721348148148,low,low,True,low
Expend4bles,Action,en,4.5,lionsgate,2023,2.0740740740740735,6.431,2.637642885807863,0.4699119434177216,low,high,True,low
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,en,4.5,paramount,2023,1.8518518518518512,7.248,1.407821662977203,1.516934121304348,high,medium,True,medium
Oppenheimer,Drama,en,4.5,universal,2023,7.851851851851851,8.129,10.0,1.5666978714723927,high,high,True,medium
Sisu,Action,fi,4.5,stage 6,2023,1.1851851851851851,7.428,2.776806866286069,0.2903469828888889,low,high,False,low
John Wick: Chapter 4,Action,en,4.5,summit,2023,7.037037037037036,7.827,10.0,1.1755522572222221,medium,high,True,medium
The Super Mario Bros. Movie,multiple,en,4.5,universal,2023,1.333333333333333,7.795,10.0,1.5666978714723927,high,low,True,medium
Evil Dead Rise,Thriller,en,4.5,new line cinema,2023,1.5555555555555554,7.038,6.268851864797338,1.2639715592307692,medium,medium,False,high
The Exorcist: Believer,Horror,en,4.5,universal,2023,2.666666666666666,5.494,0.2653824744003003,1.5666978714723927,high,high,True,low
Poor Things,Science Fiction,en,4.5,film4,2023,4.888888888888889,8.16,2.7314976633396766,0.18146075983333332,low,high,True,low
Guardians of the Galaxy Vol. 2,Adventure,en,4.5,marvel,2017,4.592592592592592,7.623,10.0,5.512887704358975,very high,high,True,medium
Mission: Impossible - Dead Reckoning Part One,Action,en,4.5,paramount,2023,6.592592592592592,7.586,8.851476432741725,1.516934121304348,high,high,True,medium
Killers of the Flower Moon,Crime,en,4.5,appian way,2023,9.703703703703702,7.525,6.598961772,0.8239929676,low,medium,True,medium
Barbie,Comedy,en,4.5,warner bros,2023,2.8888888888888893,7.14,10.0,1.6886122643533121,high,high,True,medium
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,multiple,ja,4.5,toho co,2020,3.1111111111111107,8.281,9.599078281357205,0.7190853366666667,low,low,False,high
65,Science Fiction,en,4.5,columbia,2023,1.2592592592592595,6.229,3.618263492433363,1.650344178225256,high,high,True,low
Glass Onion: A Knives Out Mystery,Comedy,en,4.5,t-street,2022,4.814814814814815,7.095,10.0,0.7018499779999999,low,high,True,low
A Haunting in Venice,Mystery,en,4.5,scott free,2023,2.148148148148148,6.794,2.4013877561588153,0.8665658946296297,low,low,True,low
Violent Night,multiple,en,4.5,universal,2022,2.7407407407407405,7.576,4.094010123370487,1.5666978714723927,high,low,True,high
Saw,Horror,en,4.5,lionsgate,2004,2.0740740740740735,7.399,10.0,0.4699119434177216,low,high,True,high
No Hard Feelings,Comedy,en,4.5,columbia,2023,2.148148148148148,6.889,0.8900022007327145,1.650344178225256,high,high,True,low
Thor: Love and Thunder,Fantasy,en,4.5,marvel,2022,3.2592592592592595,6.625,10.0,5.512887704358975,very high,medium,True,medium
Medieval,History,en,4.5,jbj,2022,3.777777777777777,7.209,1.097129986,0.042981170000000006,low,low,True,low
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,en,4.5,walt disney,2005,5.037037037037036,7.12,10.0,2.4675621212941174,high,high,True,medium
Saw X,Horror,en,4.5,lionsgate,2023,3.185185185185185,7.4,3.805973047,0.4699119434177216,low,high,False,high
Everything Everywhere All at Once,Action,en,4.5,a24,2022,4.814814814814815,7.892,10.0,0.10233037066666667,low,high,True,high
PAW Patrol: The Mighty Movie,multiple,en,4.5,paramount,2023,1.2592592592592595,6.991,0.7508382202545082,1.516934121304348,high,low,True,high
Godzilla Minus One,Science Fiction,ja,4.5,toho co,2023,3.703703703703704,8.095,0.5954923815811617,0.7190853366666667,low,high,False,high
Terrifier 2,Horror,en,4.5,bloody disgusting,2022,4.666666666666666,6.966,3.3431719031159783,0.0072675485714285715,low,high,False,high
Creed II,Drama,en,4.5,metro-goldwyn-mayer,2018,4.074074074074074,6.99,10.0,1.0234533082758621,medium,high,True,medium
Jurassic World Dominion,Adventure,en,4.5,universal,2022,5.333333333333332,6.9,10.0,1.5666978714723927,high,high,True,medium
Creed,Drama,en,4.5,metro-goldwyn-mayer,2015,4.296296296296296,7.405,10.0,1.0234533082758621,medium,high,True,high
Strange World,multiple,en,4.5,walt disney,2022,2.0,6.513,2.689424832032312,2.4675621212941174,high,low,True,low
Missing,Drama,en,4.5,stage 6,2023,2.666666666666666,7.684,0.3948373399614224,0.2903469828888889,low,high,True,high
Bullet Train,Action,en,4.5,columbia,2022,3.777777777777777,7.495,10.0,1.650344178225256,high,high,True,medium
Avatar: The Way of Water,Science Fiction,en,4.5,20th century,2022,8.666666666666666,7.656,10.0,1.460664314736842,medium,high,True,medium
Sonic the Hedgehog 2,multiple,en,4.5,paramount,2022,3.481481481481481,7.599,10.0,1.516934121304348,high,low,True,medium
Top Gun: Maverick,Action,en,4.5,paramount,2022,4.148148148148147,8.273,10.0,1.516934121304348,high,high,True,medium
Avatar,multiple,en,4.5,20th century fox,2009,6.444444444444445,7.569,10.0,2.346507158347826,high,low,True,medium
Freelance,Action,en,4.5,lipsync,2023,2.4444444444444446,6.491,0.3462917653760016,0.03248991227272727,low,high,True,low
Encanto,multiple,en,4.5,walt disney,2021,2.0,7.654,10.0,2.4675621212941174,high,low,True,medium
The Flash,Action,en,4.5,warner bros,2023,5.111111111111111,6.835,10.0,1.6886122643533121,high,high,True,medium
Blue Beetle,Action,en,4.5,warner bros,2023,3.9259259259259256,6.873,6.9614353955493415,1.6886122643533121,high,high,True,medium
Hacksaw Ridge,Drama,en,4.5,lionsgate,2016,4.7407407407407405,8.189,10.0,0.4699119434177216,low,high,True,medium
Hypnotic,multiple,en,4.5,ingenious media,2023,1.4074074074074074,6.462,2.404624127797843,0.49485519978260867,low,low,True,low
Minions: The Rise of Gru,Animation,en,4.5,universal,2022,0.8888888888888884,7.465,8.566675728507256,1.5666978714723927,high,medium,True,medium
Five Nights at Freddy's,Horror,en,4.5,blumhouse,2023,2.5925925925925917,7.719,10.0,0.45211804425373137,low,high,False,high
Black Adam,Action,en,4.5,new line cinema,2022,3.6296296296296298,7.054,10.0,1.2639715592307692,medium,high,True,medium
Turning Red,multiple,en,4.5,walt disney,2022,1.8518518518518512,7.49,10.0,2.4675621212941174,high,low,True,low
M3GAN,Science Fiction,en,4.5,universal,2022,2.0,7.308,9.097440677307857,1.5666978714723927,high,high,False,high
Doctor Strange in the Multiverse of Madness,Fantasy,en,4.5,marvel,2022,3.777777777777777,7.38,10.0,5.512887704358975,very high,medium,True,medium
Indiana Jones and the Dial of Destiny,Adventure,en,4.5,lucasfilm,2023,5.925925925925926,6.606,2.9677527929887244,5.01196809125,very high,high,True,medium
Venom: Let There Be Carnage,Science Fiction,en,4.5,columbia,2021,1.6296296296296298,6.873,10.0,1.650344178225256,high,high,True,medium
Eight Legged Freaks,multiple,en,4.5,warner bros,2002,1.7777777777777777,5.741,3.433790309008764,1.6886122643533121,high,low,True,low
Harry Potter and the Chamber of Secrets,Adventure,en,4.5,warner bros,2002,6.37037037037037,7.722,10.0,1.6886122643533121,high,high,True,medium
Deadpool 2,Action,en,4.5,20th century fox,2018,3.333333333333334,7.491,10.0,2.346507158347826,high,high,True,medium
Jeepers Creepers: Reborn,Horror,en,4.5,screen media,2022,0.9629629629629628,5.775,2.1004051937292063,0.011661582941176469,low,high,False,low
Guardians of the Galaxy,Action,en,4.5,marvel,2014,3.4074074074074066,7.904,10.0,5.512887704358975,very high,high,True,medium
Harry Potter and the Goblet of Fire,Adventure,en,4.5,warner bros,2005,6.074074074074074,7.817,10.0,1.6886122643533121,high,high,True,medium
Spider-Man: No Way Home,Action,en,4.5,columbia,2021,5.4074074074074066,7.992,10.0,1.650344178225256,high,high,True,medium
Harry Potter and the Philosopher's Stone,Adventure,en,4.5,warner bros,2001,5.703703703703704,7.913,10.0,1.6886122643533121,high,high,True,medium
Shrek,multiple,en,4.5,dreamworks,2001,1.1111111111111107,7.716,10.0,1.5526935495402299,high,low,True,medium
Interstellar,Adventure,en,4.5,legendary,2014,6.962962962962962,8.423,10.0,2.542898405,high,high,True,medium
Avengers: Endgame,Adventure,en,4.5,marvel,2019,7.851851851851851,8.268,10.0,5.512887704358975,very high,high,True,medium
