id,title,genres,original_language,popularity,production_companies,release_year,budget,revenue,runtime,status,vote_average,vote_count,credits,keywords,revenue_budget_ratio,matched_production_companies
535928,Wooden Slippers (2007),unknown,tl,0.6,['unknown'],2008,740854,122030281.3,33.0,Released,9.35,0.003236372,unknown,unknown,164.71569465778683,
911421,Christmas Under the Sea,unknown,en,0.6,['wownow'],2020,740854,122030281.3,77.0,Released,3.35,0.0,KJ Schrock-Kelsey Painter-Gina Pluto-Angie Mcpherson-Lizzy Carter-Burns-Sarah Taylor,unknown,164.71569465778683,
961658,La razon de cada parte(Jose curricular),unknown,es,0.6,['unknown'],2008,740854,122030281.3,0.0,Released,3.35,0.0,Fran Vicentini,unknown,164.71569465778683,
912362,Meeting the Director of Bikri(c)ket - VERY RUDE,unknown,af,1.09,['unknown'],2008,740854,122030281.3,12.0,Released,3.35,0.0,unknown,unknown,164.71569465778683,
933957,The Bisexual Biden Force .,unknown,en,0.6,['unknown'],2008,740854,120000000.0,120.0,Released,3.35,0.0,Dylan,unknown,161.97523398672342,
932428,Żyraf: Czas Zemsty,Horror,pl,0.6,['unknown'],2008,740854,100004215.0,0.0,Released,8.0,0.003236372,Fabian Żygadło-Antek Kaminski-Kacper Podczasiak-Miłosz Wróbel-Łysy G,unknown,134.98505103569664,
952231,Fortnite: The Final Chapter,Action-Adventure,en,0.6,['abe'],2020,740854,100000000.0,30.0,Released,3.35,0.0,Benjamin Foreman-Ethan Short-Ethan Short-Andrew Short-Ethan Short-Andrew Short-Andrew Short-Ethan Short-Andrew Short-Ethan Short-Andrew Short-Ethan Short-Ethan Short-Andrew Short-Ethan Short-Andrew Short-Mason Short-Ethan Short-Andrew Short,fortnite-skulltrooper,134.97936165560287,
506664,Someone Wants to Talk with You,Drama,fa,0.6,['iranian independents'],2012,740854,100000000.0,90.0,Released,8.0,0.006472743,Shahab Hosseini-Anahita Ne'mati-Hamidreza Pegah-Yekta Naser-Azadeh Riazi,unknown,134.97936165560287,
506972,Khaltoor,Comedy-Crime,fa,0.6,['pouya'],2018,740854,100000000.0,90.0,Released,3.35,0.003236372,Mohammadreza Sharifinia-Pouria Poursorkh-Mehran Ghafourian-Ali Sadeghi-Sahar Ghoreyshi-Maryam Amirjalali,khaltoor,134.97936165560287,
888201,GRU VS BOBUX MAN,unknown,en,0.6,['unknown'],2008,740854,90000000.0,0.0,Released,9.35,0.003236372,kakav420-kraccbak,unknown,121.48142549004255,
931847,Royston G King Show,Documentary,en,0.6,['royston g king'],2008,1000000,100000000.0,120.0,In Production,3.35,0.0,Royston G King,royston g king,100.0,
952006,Fortnite the Movie Part 2: The Legacy Continues,unknown,en,0.675,['abe'],2020,740854,70000000.0,23.0,Released,3.35,0.0,Benjamin Foreman-Andrew Short-Andrew Short-Ethan Short-Adam Goodman-Logan Goodman-Andrew Short-Daniel Goodman-Mason Short-Grant Goodman-Logan Goodman-Ethan Short-Elsa Foreman-Ella Short-Adam Goodman-Logan Goodman-Ethan Short-Andrew Short-Adam Goodman-Jeffrey Epstein-Colin Cornwell-Adam Goodman-Colin Cornwell,fortnite-skulltrooper,94.48555316,
952006,Fortnite the Movie Part 2: The Legacy Continues,unknown,en,0.943,['abe'],2020,740854,70000000.0,23.0,Released,3.35,0.0,Benjamin Foreman-Andrew Short-Andrew Short-Ethan Short-Adam Goodman-Logan Goodman-Andrew Short-Daniel Goodman-Mason Short-Grant Goodman-Logan Goodman-Ethan Short-Elsa Foreman-Ella Short-Adam Goodman-Logan Goodman-Ethan Short-Andrew Short-Adam Goodman-Jeffrey Epstein-Colin Cornwell-Adam Goodman-Colin Cornwell,fortnite-skulltrooper,94.48555316,
698480,Amizade Desfeita,unknown,en,0.6,['unknown'],2008,740854,64056643.0,1.0,Released,3.35,0.0,Blaire lily,unknown,86.46324781940841,
11427,Dead End,Mystery-Horror-Thriller,en,11.722,"['sagittaire', 'captain']",2003,900000,77000000.0,83.0,Released,6.4,1.3625124600308105,Ray Wise-Lin Shaye-Mick Cain-Alexandra Holden-William Rosenfeld-Amber Smith-Karen S. Gregan-Sharon Madden-Steve Valentine-Jimmie F. Skaggs-Clement Blake,baby-shotgun-cabin-pregnancy-victim-forest-whiskey-grandparents-mystery-family-celebration-madness-destination-unfaithful-christmas-road sign,85.55555555555556,
83,Open Water,Drama-Thriller-Horror,en,14.262,['plunge  llc'],2003,740854,54667954.0,79.0,Released,5.5,3.000116509379005,Blanchard Ryan-Daniel Travis-Saul Stein-Michael E. Williamson-Christina Zenato-John Charles,diving-cataclysm-nightmare-panic-red sea-primal fear-scuba diving-shark-scuba,73.79045533937861,
951857,Fortnite the Movie Part One,Action-Adventure,en,1.642,['abe'],2020,740854,50000000.0,15.0,Released,3.35,0.0,Benjamin Foreman-Ethan Short-Andrew Short-Brandon Short/Udo Foreman-Andrew Short-Andrew Short,fortnite-skulltrooper,67.48968082780144,
791261,No Good Apple Face Folk,unknown,en,0.6,['unknown'],2008,740854,50000000.0,124.0,Released,3.35,0.0,unknown,unknown,67.48968082780144,
