Production Companies,Num_Movies,Total_Domestic_Box_Office,Total_Worldwide_Box_Office
Universal Pictures,326,"$21,976,224,562","$51,074,350,610"
Warner Bros.,317,"$22,902,544,655","$53,529,008,780"
Columbia Pictures,293,"$22,047,420,674","$48,355,084,422"
Paramount Pictures,253,"$17,787,079,135","$38,378,433,269"
Canal Plus,232,"$1,271,353,697","$4,788,306,621"
Lionsgate,237,"$5,808,983,259","$11,136,913,059"
BBC Films,174,"$723,389,662","$2,016,837,789"
Walt Disney Pictures,170,"$17,590,430,283","$41,948,556,062"
The Hallmark Channel,165,$0,$0
Netflix,162,"$97,654","$25,031,764"
Regency Enterprises,150,"$6,048,489,054","$13,153,691,498"
Metro-Goldwyn-Mayer Pictures,145,"$6,230,664,140","$14,840,072,970"
New Line Cinema,143,"$7,825,084,214","$18,074,793,297"
Blumhouse,134,"$3,195,476,965","$6,058,381,793"
BFI,133,"$150,920,220","$499,462,098"
StudioCanal,130,"$888,589,292","$3,867,696,029"
Cine Plus,124,"$460,913,725","$1,820,320,848"
Relativity Media,118,"$7,363,680,845","$15,370,622,159"
20th Century Fox,115,"$10,880,544,534","$26,984,832,321"
Telefilm Canada,115,"$128,876,015","$324,454,438"
France 2 Cinema,105,"$91,242,872","$984,574,081"
Participant Media,104,"$1,624,682,327","$3,245,186,725"
Magnolia Pictures,104,"$22,644,264","$71,846,637"
Working Title Films,103,"$2,527,847,227","$7,972,840,451"
Focus Features,103,"$1,605,170,439","$3,553,093,193"
Vertical Entertainment,93,"$8,396,113","$32,320,392"
Ingenious Media,92,"$1,650,759,713","$4,552,667,838"
Samuel Goldwyn Films,89,"$266,136,339","$586,032,295"
Village Roadshow Productions,88,"$6,172,718,026","$14,823,349,451"
DreamWorks Pictures,87,"$6,792,654,748","$13,508,433,881"
Amazon Studios,87,"$306,400,039","$625,411,604"
Arte,87,"$18,535,780","$150,503,492"
Screen Australia,86,"$133,725,040","$524,008,462"
XYZ Films,85,"$27,984,949","$51,280,600"
Fox Searchlight Pictures,80,"$1,427,574,913","$3,258,627,165"
Marvel Studios,78,"$17,155,417,468","$43,000,524,094"
Entertainment One,76,"$969,163,002","$2,112,830,018"
A24,75,"$477,284,086","$767,477,780"
Saban Films,75,"$11,133,002","$195,078,248"
France Television,74,"$45,734,567","$498,079,461"
IFC Films,73,"$16,980,545","$55,650,360"
Summit Entertainment,72,"$3,362,726,133","$8,463,976,252"
UK Film Council,72,"$524,112,124","$1,716,686,970"
Legendary Pictures,70,"$6,810,855,658","$17,800,288,835"
Dune Entertainment,70,"$6,331,892,022","$16,614,996,669"
Touchstone Pictures,70,"$4,457,667,437","$8,437,569,375"
FilmNation Entertainment,70,"$682,777,915","$1,508,164,510"
Grindstone Entertainment Group,70,"$114,273","$60,504,930"
Wild Bunch,68,"$223,788,348","$788,294,798"
Amblin Entertainment,67,"$6,430,352,112","$15,744,574,943"
Tri-Star Pictures,67,"$2,481,252,052","$4,737,813,325"
Screen Gems,67,"$2,158,230,069","$4,316,417,191"
Voltage Pictures,67,"$184,618,684","$475,100,484"
France 3 Cinema,66,"$131,398,477","$569,191,624"
Lipsync Productions,66,"$61,903,014","$214,433,421"
Irish Film Board,63,"$147,559,873","$371,408,121"
Imagine Entertainment,62,"$2,830,293,092","$5,654,704,665"
New Regency,62,"$1,977,278,967","$4,621,843,001"
Pathe,61,"$297,889,446","$907,167,189"
ARTE France,61,"$17,369,866","$184,062,476"
Film4,60,"$313,388,571","$1,088,764,559"
Arte France Cinema,60,"$40,208,544","$202,443,326"
RAI Cinema,59,"$20,778,008","$200,731,909"
Castle Rock Entertainment,58,"$1,950,265,164","$3,224,585,929"
Miramax Films,58,"$1,289,056,934","$2,697,917,006"
Twentieth Century Fox,57,"$2,983,527,206","$7,005,218,941"
Head Gear Films,57,"$93,584,572","$212,154,497"
Film i Vast,57,"$72,333,885","$316,684,518"
Gravitas Ventures,56,"$718,212","$8,675,574"
Eurimages,55,"$24,368,787","$180,403,875"
DreamWorks Animation,54,"$6,340,674,445","$16,927,430,671"
Scott Free Films,54,"$1,791,364,501","$4,679,455,831"
CNC,54,"$22,711,596","$130,860,989"
Fox 2000 Pictures,52,"$2,742,508,438","$5,916,561,903"
HanWay Films,52,"$149,508,436","$422,717,329"
Metrol Technology,52,"$20,723,197","$103,013,163"
TSG Entertainment,50,"$3,653,203,052","$10,299,569,423"
Millennium Films,50,"$1,042,862,115","$2,640,050,796"
ZDF,50,"$15,176,083","$132,612,433"
Davis Entertainment,48,"$1,738,705,817","$4,050,206,361"
Anonymous Content,48,"$452,716,702","$1,124,474,591"
Film 4,47,"$253,962,808","$875,324,530"
RatPac Entertainment,46,"$3,963,515,749","$9,975,226,068"
Automatik,46,"$176,774,691","$301,956,815"
The Fyzz Facility,46,"$168,374,378","$369,852,679"
Stage 6 Films,45,"$719,776,340","$1,306,561,423"
IM Global,45,"$344,758,012","$731,211,212"
Scott Rudin Productions,44,"$2,177,058,414","$3,834,310,767"
Creative Scotland,44,"$23,169,850","$134,696,172"
Highland Film Group,44,"$11,740,709","$27,465,220"
IFC Midnight,44,"$2,267,764","$14,707,558"
Perfect World Pictures,43,"$2,876,281,190","$7,455,892,347"
Silver Pictures,43,"$2,709,854,141","$5,688,755,634"
Temple Hill Entertainment,43,"$2,185,441,408","$5,255,109,107"
Plan B Entertainment,43,"$1,347,321,886","$3,182,610,789"
Bondit,43,"$5,672,012","$10,996,554"
Skydance Productions,42,"$3,232,996,683","$8,705,176,168"
Weinstein Company,42,"$1,330,227,851","$3,139,267,871"
Sony Pictures Classics,42,"$232,894,770","$555,025,378"
Gaumont,42,"$148,004,596","$1,074,105,458"
Original Film,40,"$3,120,691,384","$9,387,405,979"
Happy Madison,40,"$2,338,633,161","$3,907,566,279"
Vertigo Entertainment,40,"$1,635,849,022","$3,153,954,349"
Lakeshore Entertainment,40,"$1,084,249,761","$2,203,748,537"
Orion Pictures,40,"$465,439,642","$663,430,066"
